uni_name,qs_id
QUEEN'S UNIVERSITY OF BELFAST,QS00358
QUEEN'S UNIVERSITY ONTARIO,QS00359
QUEENSLAND UNIVERSITY OF TECHNOLOGY,QS00360
RADBOUD UNIVERSITY NIJMEGEN,QS00361
RENMIN (PEOPLE’S) UNIVERSITY OF CHINA,QS00362
RENSSELAER POLYTECHNIC INSTITUTE,QS00363
RHEINISCH-WESTFALISCHE TECHNISCHE HOCHSCHULE AACHEN,QS00364
RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSITAT BONN,QS00365
RHODES UNIVERSITY,QS00366
RICE UNIVERSITY,QS00367
RITSUMEIKAN UNIVERSITY,QS00368
RMIT UNIVERSITY,QS00369
ROYAL COLLEGE OF MUSIC IN STOCKHOLM (KMH),QS00370
ROYAL HOLLOWAY UNIVERSITY OF LONDON,QS00371
RUHR-UNIVERSITAT BOCHUM,QS00372
RUPRECHT-KARLS-UNIVERSITAT HEIDELBERG,QS00373
RUTGERS - THE STATE UNIVERSITY OF NEW JERSEY NEWARK,QS00374
RUTGERS THE STATE UNIVERSITY OF NEW JERSEY NEW BRUNSWICK,QS00375
RYERSON UNIVERSITY,QS00376
S.SEIFULLIN KAZAKH AGRO TECHNICAL UNIVERSITY,QS00377
SABANCI UNIVERSITY,QS00378
SAINT-PETERSBURG STATE UNIVERSITY,QS00379
SAITAMA UNIVERSITY,QS00380
SATYA WACANA CHRISTIAN UNIVERSITY,QS00381
SCIENCES PO PARIS,QS00382
SEOKYEONG UNIVERSITY,QS00383
SEOUL NATIONAL UNIVERSITY,QS00384
SEOUL WOMEN'S UNIVERSITY,QS00385
SEPULUH NOPEMBER INSTITUTE OF TECHNOLOGY,QS00386
SHANDONG UNIVERSITY,QS00387
SHANGHAI JIAO TONG UNIVERSITY,QS00388
SHANGHAI UNIVERSITY,QS00389
SHANMUGHA ARTS SCIENCE TECHNOLOGY AND RESEARCH ACADEMY (SASTRA),QS00390
SHARIF UNIVERSITY OF TECHNOLOGY,QS00391
SHINSHU UNIVERSITY,QS00392
SIMON FRASER UNIVERSITY,QS00393
SMITH COLLEGE,QS00394
SOAS - SCHOOL OF ORIENTAL AND AFRICAN STUDIES UNIVERSITY OF LONDON,QS00395
SOGANG UNIVERSITY,QS00396
SOUTH KAZAKHSTAN STATE UNIVERSITY (SKSU),QS00397
SOUTHEAST UNIVERSITY,QS00398
SOUTHERN FEDERAL UNIVERSITY,QS00399
SOUTHERN METHODIST UNIVERSITY,QS00400
ST. PETERSBURG STATE POLITECHNICAL UNIVERSITY,QS00401
STANFORD UNIVERSITY,QS00402
STELLENBOSCH UNIVERSITY,QS00403
STEVENS INSTITUTE OF TECHNOLOGY,QS00404
STOCKHOLM UNIVERSITY,QS00405
STONY BROOK UNIVERSITY,QS00406
SULTAN QABOOS UNIVERSITY,QS00407
SUN YAT-SEN UNIVERSITY,QS00408
SUNGKYUNKWAN UNIVERSITY,QS00409
SUNY - COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY,QS00410
SUP DE CO AMIENS PICARDIE,QS00411
SWANSEA UNIVERSITY,QS00412
SWINBURNE UNIVERSITY OF TECHNOLOGY,QS00413
ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),QS00414
SYRACUSE UNIVERSITY,QS00415
TAIPEI MEDICAL UNIVERSITY,QS00416
TALLINN UNIVERSITY OF TECHNOLOGY,QS00417
TAMPERE UNIVERSITY OF TECHNOLOGY,QS00418
TARAS SHEVCHENKO NATIONAL UNIVERSITY OF KYIV,QS00419
UNIVERSITY OF TARTU,QS00420
TECHNICAL UNIVERSITY OF DENMARK,QS00421
TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY,QS00422
TECHNISCHE UNIVERSITAT BERLIN,QS00423
TECHNISCHE UNIVERSITAT BRAUNSCHWEIG,QS00424
TECHNISCHE UNIVERSITAT DARMSTADT,QS00425
TECHNISCHE UNIVERSITAT DORTMUND,QS00426
TECHNISCHE UNIVERSITAT DRESDEN,QS00427
TECHNISCHE UNIVERSITAT KAISERSLAUTERN,QS00428
TECHNISCHE UNIVERSITAT MUNCHEN,QS00429
VIENNA UNIVERSITY OF TECHNOLOGY,QS00430
TECNOLOGICO DE MONTERREY (ITESM),QS00431
TEL AVIV UNIVERSITY,QS00432
TEMPLE UNIVERSITY,QS00433
TEXAS A&M UNIVERSITY,QS00434
THAMMASAT UNIVERSITY,QS00435
THE CATHOLIC UNIVERSITY OF KOREA,QS00436
THE HAGUE UNIVERSITY,QS00437
THE OPEN UNIVERSITY,QS00438
THE ROBERT GORDON UNIVERSITY,QS00439
THE SAPIR ACADEMIC COLLEGE,QS00440
TIANJIN UNIVERSITY,QS00441
TILBURG UNIVERSITY,QS00442
TOHOKU UNIVERSITY,QS00443
TOKAI UNIVERSITY,QS00444
TOKYO INSTITUTE OF TECHNOLOGY,QS00445
TOKYO KASEI UNIVERSITY,QS00446
TOKYO MEDICAL AND DENTAL UNIVERSITY,QS00447
TOKYO METROPOLITAN UNIVERSITY,QS00448
TOKYO UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,QS00449
TOKYO UNIVERSITY OF SCIENCE,QS00450
TOMSK POLYTECHNIC UNIVERSITY,QS00451
TOMSK STATE UNIVERSITY,QS00452
TONGJI UNIVERSITY,QS00453
TSINGHUA UNIVERSITY,QS00454
TUFTS UNIVERSITY,QS00455
TULANE UNIVERSITY,QS00456
TURKU UNIVERSITY OF APPLIED SCIENCES,QS00457
UMEA UNIVERSITY,QS00458
UMM AL-QURA UNIVERSITY,QS00459
UNITED ARAB EMIRATES UNIVERSITY,QS00460
UNIVERSIDAD ADOLFO IBANEZ,QS00461
UNIVERSIDAD ANAHUAC,QS00462
UNIVERSIDAD AUSTRAL - ARGENTINA,QS00463
UNIVERSIDAD AUSTRAL DE CHILE,QS00464
UNIVERSIDAD AUTONOMA DE BUCARAMANGA,QS00465
UNIVERSIDAD AUTONOMA DE MADRID,QS00466
UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,QS00467
UNIVERSIDAD AUTONOMA METROPOLITANA (UAM),QS00468
UNIVERSIDAD CARLOS III DE MADRID,QS00469
UNIVERSIDAD CATOLICA ANDRES BELLO - UCAB,QS00470
UNIVERSIDAD CENTRAL DE VENEZUELA - UCV,QS00471
UNIVERSITY COMPLUTENSE MADRID,QS00472
UNIVERSIDAD DE ALCALA,QS00473
UNIVERSIDAD DE ANTIOQUIA,QS00474
UNIVERSIDAD DE BELGRANO,QS00475
UNIVERSIDAD DE BUENOS AIRES,QS00476
UNIVERSIDAD DE CHILE,QS00477
UNIVERSIDAD DE CONCEPCION,QS00478
UNIVERSIDAD DE COSTA RICA,QS00479
UNIVERSITY OF GRANADA,QS00480
UNIVERSIDAD DE GUADALAJARA (UDG),QS00481
UNIVERSIDAD DE LA FRONTERA (UFRO),QS00482
UNIVERSIDAD DE LA HABANA,QS00483
UNIVERSIDAD DE LA REPUBLICA (UDELAR),QS00484
UNIVERSIDAD DE LA SABANA,QS00485
UNIVERSIDAD DE LAS AMERICAS PUEBLA (UDLAP),QS00486
UNIVERSIDAD DE LOS ANDES COLOMBIA,QS00487
UNIVERSIDAD DE LOS ANDES MERIDA,QS00488
UNIVERSITY OF NAVARRA,QS00489
UNIVERSIDAD DE PALERMO,QS00490
UNIVERSIDAD DE PUERTO RICO,QS00491
UNIVERSITY OF SALAMANCA,QS00492
UNIVERSIDAD DE SAN ANDRA©S,QS00493
UNIVERSIDAD DE SAN FRANCISCO DE QUITO,QS00494
UNIVERSIDAD DE SANTIAGO DE CHILE - USACH,QS00495
UNIVERSIDAD DE SEVILLA,QS00496
UNIVERSIDAD DE TALCA,QS00497
UNIVERSIDAD DE ZARAGOZA,QS00498
UNIVERSIDAD DEL NORTE,QS00499
UNIVERSIDAD DEL ROSARIO,QS00500
UNIVERSIDAD DEL VALLE,QS00501
UNIVERSIDAD DIEGO PORTALES,QS00502
UNIVERSIDAD EAFIT,QS00503
UNIVERSIDAD IBEROAMERICANA (UIA),QS00504
UNIVERSIDAD INDUSTRIAL DE SANTANDER,QS00505
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO (UNAM),QS00506
