Country,OrgName,InstNameEnglish,OrgGUID
Argentina,Instituto Universitario de Salud Mental de la Asociación Psicoanalítica de Buenos Aires (APdeBA),University Institute of Mental Health of the Buenos Aires Psychoanalytical Association (APdeBA),{4D277318-B41D-4A66-83D5-5C2EECCF3253}
Argentina,Instituto Universitario del Hospital Italiano,University Institute of the Italian Hospital,{8237CFD3-720B-11D5-8B30-006097D24B11}
Argentina,Instituto Universitario Escuela Argentina de Negocios,University Institute - Argentina School of Business,{260D3D11-A258-44C9-9375-A9D625145628}
Argentina,Instituto Universitario Italiano de Rosario,Italian University Institute of Rosario,{8237CFDE-720B-11D5-8B30-006097D24B11}
Argentina,Instituto Universitario Nacional del Arte,National University Institute of Art,{2F59C4E5-707E-11D5-8B30-006097D24B11}
Argentina,Instituto Universitario Naval,Naval University Institute,{CAC6E344-78B5-11D2-BE74-0080C87A0525}
Argentina,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Catholic University of Argentina,{CAC6E2F6-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Abierta Interamericana,Interamerican Open University,{CAC6E2F8-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Adventista del Plata,Del Plata Adventist University,{CAC6E317-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Argentina de la Empresa,Argentine Business University,{CAC6E2F0-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Argentina John F. Kennedy,Argentine University John F. Kennedy,{CAC6E2F1-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Atlántida Argentina,Atlántida Argentina University,{CAC6E30D-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Austral,Southern University,{CAC6E2F2-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Autónoma de Entre Ríos,Autonomous University of Entre Ríos,{AF3FE705-A1E4-409F-BD24-6667D72E1C00}
Argentina,Universidad Blas Pascal,Blas Pascal University,{CAC6E307-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad CAECE,CAECE University,{CAC6E2F5-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Católica de Córdoba,Catholic University of Córdoba,{CAC6E306-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Católica de Cuyo,Catholic University of Cuyo,{CAC6E30A-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Católica de La Plata,Catholic University of La Plata,{CAC6E30B-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Católica de Salta,Catholic University of Salta,{CAC6E316-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Católica de Santa Fé,Catholic University of Santa Fé,{CAC6E318-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Católica de Santiago del Estero,Catholic University of Santiago del Estero,{CAC6E319-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Champagnat,Champagnat University,{CAC6E311-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad de Belgrano,University of Belgrano,{CAC6E2EF-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad de Buenos Aires,University of Buenos Aires,{CAC6E321-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad de Ciencias Empresariales y Sociales,University of Business and Social Sciences,{CAC6E2FB-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad de Concepción del Uruguay,University of Concepción del Uruguay,{CAC6E305-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad de Congreso,University of Congreso,{CAC6E310-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad de Flores,University of Flores,{CAC6E2FD-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad de la Cuenca del Plata,University of the Valley of the Plata,{CAC6E309-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad de la Marina Mercante,University of the Merchant Navy,{CAC6E301-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad de las Fraternidades de Agrupaciones 'Santo Tomás de Aquino',University of the Santo Tomás de Aquino Fraternity,{CAC6E30E-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad de Mendoza,University of Mendoza,{CAC6E313-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad de Morón,University of Morón,{CAC6E314-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad de Palermo,Palermo University,{CAC6E2FA-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad de San Andrés,San Andrés University,{CAC6E31E-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad del Aconcagua,University of the Aconcagua,{CAC6E30F-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad del CEMA,CEMA University,{CAC6E2FF-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad del Centro Educativo Latinoamericano,University of the Latin American Educational Centre,{CAC6E315-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad del Cine,University of the Cinema,{CAC6E2FC-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad del Museo Social Argentino,University of Argentinian Social Studies,{CAC6E303-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad del Norte Santo Tomás de Aquino,Saint Thomas Aquinus University of the North,{CAC6E31D-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad del Salvador,University of Salvador,{CAC6E302-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Empresarial Siglo 21,Business University of the Twenty-First Century,{CAC6E308-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Favaloro,Favaloro University,{1139D86B-6EE4-11D5-8B30-006097D24B11}
Argentina,Universidad Gastón Dachary,Gastón Dachary University,{D6F215FC-7141-11D5-8B30-006097D24B11}
Argentina,Universidad ISALUD,ISALUD University,{8237CFC5-720B-11D5-8B30-006097D24B11}
Argentina,Universidad Juan Agustín Maza,Juan Agustín Maza University,{CAC6E312-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Maimónides,Maimónides University,{CAC6E2F9-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Catamarca,National University of Catamarca,{CAC6E322-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Chilecito,National University of Chilecito,{12129617-EE6F-476E-8154-1701539B5090}
Argentina,Universidad Nacional de Córdoba,National University of Córdoba,{CAC6E324-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Cuyo,National University of Cuyo,{CAC6E326-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Entre Ríos,National University of Entre Ríos,{CAC6E327-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Formosa,National University of Formosa,{CAC6E328-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de General Sarmiento,General Sarmiento National University,{CAC6E33D-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Jujuy,National University of Jujuy,{CAC6E32A-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de La Matanza,National University of La Matanza,{CAC6E32B-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de La Pampa,National University of La Pampa,{CAC6E32C-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de la Patagonia Austral,National University of Southern Patagonia,{CAC6E33E-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de la Patagonia San Juan Bosco,National University of Patagonia San Juan Bosco,{CAC6E32D-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de La Plata,National University of La Plata,{CAC6E32E-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de La Rioja,National University of La Rioja,{CAC6E32F-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Lanús,National University of Lanús,{CAC6E330-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Lomas de Zamora,National University of Lomas de Zamora,{CAC6E332-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Luján,National University of Luján,{CAC6E333-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Mar del Plata,National University of Mar del Plata,{CAC6E334-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Misiones,National University of Misiones,{CAC6E335-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Quilmes,National University of Quilmes,{CAC6E336-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Río Cuarto,National University of Río Cuarto,{CAC6E337-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Rosario,National University of Rosario,{CAC6E338-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Salta,National University of Salta,{CAC6E339-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de San Juan,National University of San Juan,{CAC6E33B-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de San Luis,National University of San Luis,{CAC6E33C-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de San Martín,National University of San Martín,{CAC6E329-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Santiago del Estero,National University of Santiago del Estero,{CAC6E33F-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Tres de Febrero,National University of the Third of February,{D3613219-6B59-11D3-BE58-00105AC7F24E}
Argentina,Universidad Nacional de Tucumán,National University of Tucumán,{CAC6E341-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional de Villa María,National University of Villa María,{CAC6E342-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional del Centro de la Provincia de Buenos Aires,National University of the Centre of the Province of  Buenos Aires,{CAC6E320-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional del Comahue,National University of Comahue,{CAC6E323-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional del Litoral,National University of the Littoral,{CAC6E331-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional del Nordeste,National University of the North-East,{CAC6E325-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,National University of the North-West of the Province of Buenos Aires,{4AFB966D-9B75-4548-AB69-DA0A85A868AA}
Argentina,Universidad Nacional del Sur,National University of the South,{CAC6E340-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Notarial Argentina,University of Notarial Studies,{CAC6E30C-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Tecnológica Nacional,National Technical University,{CAC6E31F-78B5-11D2-BE74-0080C87A0525}
Argentina,Universidad Torcuato di Tella,University of Torcuato di Tella,{CAC6E304-78B5-11D2-BE74-0080C87A0525}
Armenia,Amirdovlat Amasiatsi Bgskakan Institute,Amirdovlat Amasiatsi Medical Institute,{0F7F70D6-DDEF-4ABE-AC02-500E0D7F81BC}
Armenia,Artashati 'Artashat' Hamalsaran,Artashat 'Artashat' University,{C11F841D-4DA9-4C58-8BCD-07C21E2EC41A}
Armenia,Avandakan Bžhshkutyan Hamalsaran,University of Traditional Medicine,{3956D178-D62F-4377-AD4F-6ACFB0218E77}
Armenia,Avetik Mkrtchyan Tntesairavagitakan Hamalsaran,University of Economy and Law after Avetik Mkrtchyan,{62333FFA-264D-4C39-81CC-8F32985FE7B1}
Armenia,Azpat-Veteran Datakan Porcagitutyan ev Hogebanutyan Institut,Institute of Forensic Expertise and Psychology,{111551A8-4E60-48B8-A1D1-B7DE21991E65}
Armenia,Evropakan Krtakan Taratsashrjanain Akademia,European Regional Education Academy,{32CC7877-2C2F-4B45-837E-A34DC628EC3C}
Armenia,Finansakan Akademia,Financial Academy,{45545C2A-2FC4-43AF-97C4-0432DEF74710}
Armenia,Gavari Petakan Hamalsaran,Gavar State University,{A3DC4D6E-E5B9-11D2-A1A8-00105AB34091}
Armenia,Gegecik Arvestneri Azgain Academia,National Academy of Fine Arts,{8B1D7EFF-3C64-4C7F-BFAB-3C0DB0CE249B}
Armenia,Gladzor Karavarman Hamalsaran,Yerevan Gladzor University,{8537EB8A-0B17-46F5-A8E2-DD35EE468741}
