uni_name,urap_id
ECOLE NORMALE SUPERIEURE - LYON,URAP00358
ECOLE NORMALE SUPERIEURE CACHAN,URAP00359
ECOLE NORMALE SUPERIEURE E LYON,URAP00360
ECOLE NORMALE SUPERIEURE PARIS,URAP00361
ECOLE POLYTECHNIQUE (FRANCE),URAP00362
ECOLE POLYTECHNIQUE DE MONTREAL,URAP00363
ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,URAP00364
ECOLE SUPERIEURE DELECTRICITE,URAP00365
EDITH COWAN UNIVERSITY,URAP00366
EGE UNIVERSITY,URAP00367
EHIME UNIVERSITY,URAP00368
EINDHOVEN UNIVERSITY OF TECHNOLOGY,URAP00369
ELON UNIVERSITY,URAP00370
EMBRY RIDDLE AERONAUTICAL UNIVERSITY,URAP00371
EMORY UNIVERSITY,URAP00372
EOTVOS LORAND UNIVERSITY (UNIVERSITY OF BUDAPEST),URAP00373
ERASMUS UNIVERSITY,URAP00374
ERCIYES UNIVERSITY,URAP00375
ERZINCAN UNIVERSITY,URAP00376
ESKISEHIR OSMANGAZI UNIVERSITY,URAP00377
ESTONIAN UNIVERSITY OF LIFE SCIENCES,URAP00378
EULJI UNIVERSITY,URAP00379
EUROPEAN UNIVERSITY INSTITUTE,URAP00380
EWHA WOMANS UNIVERSITY,URAP00381
FACULTES UNIVERSITAIRES NOTRE DAME DE LA PAIX,URAP00382
FAIRFIELD UNIVERSITY,URAP00383
FAR EAST UNIVERSITY,URAP00384
FATIH UNIVERSITY,URAP00385
FEDERAL UNIVERSITY OF PELOTAS,URAP00386
FENG CHIA UNIVERSITY,URAP00387
FERDOWSI UNIVERSITY OF MASHHAD,URAP00388
FERNUNIVERSITAT IN HAGEN,URAP00389
FIRAT UNIVERSITY,URAP00390
FLINDERS UNIVERSITY,URAP00391
FLORIDA AGRICULTURE AND MECHANICAL UNIVERSITY,URAP00392
FLORIDA ATLANTIC UNIVERSITY,URAP00393
FLORIDA INSTITUTE OF TECHNOLOGY,URAP00394
FLORIDA INTERNATIONAL UNIVERSITY,URAP00395
FLORIDA STATE UNIVERSITY,URAP00396
FOOYIN UNIVERSITY,URAP00397
FORDHAM UNIVERSITY,URAP00398
FREE UNIVERSITY OF BOZEN BOLZANO,URAP00399
FREE UNIVERSITY OF BRUSSELS VUB,URAP00400
FREIE UNIVERSITAT BERLIN,URAP00401
FU JEN CATHOLIC UNIVERSITY,URAP00402
FUDAN UNIVERSITY (SHANGHAI MEDICAL UNIVERSITY),URAP00403
FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY,URAP00404
FUJIAN MEDICAL UNIVERSITY,URAP00405
FUJIAN NORMAL UNIVERSITY,URAP00406
FUJITA HEALTH UNIVERSITY,URAP00407
FUKUOKA UNIVERSITY,URAP00408
FUKUSHIMA MEDICAL UNIVERSITY,URAP00409
FUKUYAMA UNIVERSITY,URAP00410
FURMAN UNIVERSITY,URAP00411
FUZHOU UNIVERSITY,URAP00412
G B PANT UNIVERSITY OF AGRICULTURE & TECHNOLOGY,URAP00413
GACHON UNIVERSITY,URAP00414
GAKUSHUIN UNIVERSITY,URAP00415
GAUHATI UNIVERSITY,URAP00416
GAZI UNIVERSITY,URAP00417
GAZIANTEP UNIVERSITY,URAP00418
GAZIOSMANPASA UNIVERSITY,URAP00419
GDANSK UNIVERSITY,URAP00420
GDANSK UNIVERSITY OF TECHNOLOGY,URAP00421
GEBZE INSTITUTE OF TECHNOLOGY,URAP00422
GEMBLOUX AGRICULTURAL UNIVERSITY,URAP00423
GEORGE MASON UNIVERSITY,URAP00424
GEORGE WASHINGTON UNIVERSITY,URAP00425
